endToEndDelay:vector NetworkWithShapingAndPolicing.H2.app[1] (#0 - Exp2DropTailWithPolicingAndShaping-0-20210404-00:58:16-71548),
227.836183356389,1.443338739999999726
228.674183356389,2.161338739999999695
229.744183356389,3.07133873999999983
231.616683356389,4.663838739999999185
234.01682007675,34.94397546036100252
235.19032007675,34.39747546036099367
239.796183356389,11.80333873999999732
240.598683356389,12.48583873999999833
241.668683356389,13.39583873999999847
243.808683356389,15.21583873999999875
244.611183356389,15.89833873999999976
254.51582007675,36.522975460360996
255.700683356389,24.98783874000000072
257.081183356389,25.56833874000000145
258.686183356389,26.73333874000000052
263.794183356389,28.76133873999999925
265.338683356389,29.7858387399999954
266.141183356389,30.3483387399999954
266.943683356389,30.9108387399999954
268.816183356389,32.14333873999999002
269.618683356389,32.66583873999999795
270.421183356389,33.22833873999999795
274.28232007675,3.889475460360999987
276.15482007675,5.48197546036099934
276.95732007675,6.164475460361000335
288.44082007675,16.48797546036099952
289.24332007675,17.17047546036099696
291.078683356389,36.56583873999998945
291.95582007675,19.48297546036099695
293.50032007675,20.82747546036100053
294.495683356389,36.50283874000000127
298.65132007675,24.61847546036099737
302.72482007675,26.77197546036099842
304.971183356389,37.61833873999999852
305.773683356389,37.66083874000000242
306.76282007675,29.24997546036099992
308.889183356389,26.17633873999999837
309.691683356389,26.81883873999999667
311.339683356389,28.22683873999999795
312.616683356389,29.14383873999999952
313.419183356389,29.74633873999999867
315.62782007675,34.15497546036100107
316.43032007675,34.23747546036099707
318.052683356389,33.33983873999999032
320.530357815195,34.13751319880599045
321.409183356389,33.81633873999999187
322.582683356389,34.22983873999999092
323.652683356389,34.69983873999998975
324.826183356389,34.3133387399999917
334.190678905984,8.67783428959499755
335.776183356389,37.14333873999999
337.381183356389,37.38833873999999455
338.240678905984,12.12783428959500038
339.253683356389,37.58083873999999
341.761178905984,15.16833428959499835
342.563678905984,15.85083428959499935
345.449183356389,37.41633874000000037
352.674678905984,23.88183428959499807
353.888183356389,37.65533873999999045
355.064678905984,24.5518342895949998
357.121178905984,25.32833428959499845
357.994183356389,2.161338739999999695
360.134183356389,3.98133873999999997
366.034678905984,30.08183428959500095
373.070178905984,34.31733428959499562
375.839683356389,18.08683873999999738
376.694178905984,35.14133428959499367
377.600178905984,35.2073342895949962
378.514683356389,20.36183873999999597
380.275178905984,36.16233428959499452
381.716178905984,35.8433342895949919
382.518678905984,35.6058342895949947
383.321178905984,35.76833428959500327
384.391178905984,36.0783342895949913
386.033678905984,36.52083428959500095
388.173678905984,36.9408342895950027
389.174183356389,28.30133873999999832
390.811419491375,29.45857487498599867
392.919183356389,30.88633873999999925
393.721683356389,31.44883873999999925
394.791683356389,32.2388387399999913
395.594183356389,32.8013387399999913
396.767683356389,33.57483873999998977
399.114683356389,34.88183873999999195
400.184683356389,35.4318387400000033
