packetReceived:vector(packetBytes) NetworkWithShapingAndPolicing.H2.app[1] (#0 - Exp3RoundRobinWithPolicingAndShaping-0-20210404-00:58:48-71596),
518.979933356389,500
520.049933356389,500
520.852433356389,500
522.189933356389,500
524.579433356389,500
525.381933356389,500
527.254433356389,500
528.056933356389,500
529.126933356389,500
530.731933356389,500
531.801933356389,500
539.256933356389,500
540.059433356389,500
541.931933356389,500
543.001933356389,500
543.804433356389,500
544.606933356389,500
547.282433356389,500
548.084933356389,500
549.957433356389,500
550.759933356389,500
551.829933356389,500
552.632433356389,500
554.237433356389,500
555.307433356389,500
556.109933356389,500
556.912433356389,500
558.785433356389,500
559.855433356389,500
560.657933356389,500
563.065433356389,500
564.135433356389,500
564.937933356389,500
565.740433356389,500
566.810433356389,500
568.415433356389,500
570.555933356389,500
571.625933356389,500
574.833683356389,500
575.636183356389,500
576.706183356389,500
578.578683356389,500
579.381183356389,500
580.183683356389,500
582.323683356389,500
583.928683356389,500
586.604183356389,500
587.406683356389,500
588.476683356389,500
590.081683356389,500
591.151683356389,500
593.291683356389,500
596.234183356389,500
598.109183356389,500
599.179183356389,500
601.051683356389,500
602.121683356389,500
602.924183356389,500
604.261694976389,500
607.467108710574,500
608.269608710574,500
610.142108710574,500
611.212108710574,500
613.084608710574,500
613.887108710574,500
614.689608710574,500
615.492108710574,500
616.562108710574,500
619.244183356389,500
620.063608710574,500
621.919683356389,500
623.524683356389,500
624.594683356389,500
625.397183356389,500
626.199683356389,500
627.018608710574,500
628.088608710574,500
631.291108710574,500
632.093608710574,500
635.646183356389,500
636.641108710574,500
637.443608710574,500
639.316108710574,500
640.118608710574,500
642.794108710574,500
644.473683356389,500
647.074108710574,500
647.916183356389,500
648.946608710574,500
650.551608710574,500
651.621608710574,500
652.424108710574,500
654.834108710574,500
655.636608710574,500
658.616683356389,500
659.954183356389,500
660.756683356389,500
661.826683356389,500
663.431683356389,500
664.501683356389,500
667.066358710574,500
667.868858710574,500
670.646683356389,500
671.881358710574,500
672.786683356389,500
673.753858710574,500
675.461683356389,500
677.601683356389,500
678.533858710574,500
680.276683356389,500
682.278858710574,500
683.221683356389,500
684.024183356389,500
685.896683356389,500
686.699183356389,500
690.571858710574,500
691.374358710574,500
692.444358710574,500
693.246858710574,500
694.049358710574,500
695.119358710574,500
696.724358710574,500
697.526858710574,500
698.596858710574,500
699.399358710574,500
701.528683356389,500
702.598683356389,500
704.703683356389,500
705.506183356389,500
707.378683356389,500
708.181183356389,500
709.029858710574,500
710.053683356389,500
710.902358710574,500
714.833683356389,500
716.522358710574,500
717.508683356389,500
718.311183356389,500
719.197358710574,500
720.183683356389,500
