endToEndDelay:vector NetworkWithShapingAndPolicing.H2.app[1] (#0 - Exp1DropTailWithoutPolicingAndShaping-0-20210404-00:57:15-71490),
54.328126002304,36.65528138591500337
54.595626002304,41.002781385915
54.863126002304,41.11028138591500162
55.130626002304,37.41778138591499202
55.708626002304,37.91578138591499665
56.079626002304,41.7667813859149957
56.347126002304,41.99428138591500195
56.614626002304,42.10178138591498945
56.882126002304,42.3292813859149957
57.149626002304,42.55678138591500195
57.624126002304,42.63128138591500242
57.995126002304,42.7222813859149964
58.262626002304,42.8697813859149902
58.530126002304,42.9772813859149919
58.901126002304,40.828281385914991
59.272126002304,41.15928138591499405
59.643126002304,41.25028138591500225
59.910626002304,41.397781385914996
60.281626002304,41.48878138591499
60.549126002304,41.63628138591499787
61.023626002304,41.43078138591499727
61.291126002304,41.41828138591499437
61.596126002304,41.60328138591499665
61.863626002304,41.71078138591499837
62.131126002304,41.85828138591499207
62.398626002304,42.08578138591499837
62.666126002304,42.19328138591500002
62.933626002304,42.42078138591499207
63.201126002304,42.64828138591499837
63.468626002304,42.79578138591499207
64.046626002304,43.09378138591499382
64.521126002304,43.328281385914991
64.788626002304,43.55578138591499725
65.159626002304,43.72678138591498945
65.427126002304,43.95428138591499567
65.694626002304,44.14178138591499562
65.962126002304,44.28928138591498945
66.229626002304,44.51678138591499562
66.497126002304,44.62428138591499742
66.868126002304,44.835281385914996
67.135626002304,44.94278138591499767
67.403126002304,45.17028138591498967
67.670626002304,45.39778138591499595
67.938126002304,45.50528138591499767
68.205626002304,45.73278138591498967
68.473126002304,45.96028138591499595
68.740626002304,46.06778138591499767
69.008126002304,46.29528138591498965
69.275626002304,46.52278138591499595
69.543126002304,46.67028138591498965
69.810626002304,46.85778138591498965
70.492126002304,47.139281385914998
70.759626002304,47.326781385914998
71.027126002304,47.55428138591499
71.294626002304,47.701781385914998
71.599626002304,47.92678138591499225
71.966126002304,48.2532813859150023
72.233626002304,48.40078138591499605
72.501126002304,20.90828138591499647
72.768626002304,48.89578138591500065
73.036126002304,21.40328138591500097
73.303626002304,49.3507813859149989
73.571126002304,21.8982813859149984
73.838626002304,49.765781385914991
74.106126002304,22.39328138591499587
74.477126002304,50.36428138591499225
74.744626002304,22.99178138591499721
75.219126002304,51.02628138591499845
75.486626002304,51.17378138591499215
75.754126002304,23.9612813859150008
76.228626002304,51.8757813859149904
76.599626002304,24.76678138591499577
76.970626002304,52.377781385915
77.341626002304,52.54878138591499215
77.609126002304,52.77628138591499845
77.876626002304,25.92378138591499937
78.351126002304,26.35828138591499922
78.722126002304,26.68928138591499522
79.093126002304,27.02028138591499832
79.464126002304,53.87128138591499725
79.835126002304,54.0022813859149975
80.309626002304,54.11678138591499
80.577126002304,28.3842813859149955
80.844626002304,54.5717813859150024
81.112126002304,54.79928138591499455
81.379626002304,54.9467813859150024
81.684626002304,29.4117813859149989
81.952126002304,55.399281385915003
82.323126002304,30.0102813859150003
82.590626002304,55.67778138591499705
82.858126002304,30.50528138591499767
83.125626002304,56.0127813859149908
83.393126002304,56.24028138591499705
83.660626002304,56.34778138591499875
83.928126002304,56.2952813859149896
84.195626002304,56.4027813859149914
84.463126002304,56.510281385914993
84.937626002304,56.6247813859149997
85.205126002304,32.53228138591499875
85.576126002304,56.7432813859149971
85.843626002304,33.13078138591500012
86.214626002304,33.4617813859150032
86.585626002304,57.19278138591499765
86.853126002304,57.3002813859149993
87.120626002304,57.447781385914993
87.388126002304,57.55528138591499475
87.759126002304,57.28628138591498925
88.026626002304,57.27378138591500065
88.294126002304,35.30128138591499
88.561626002304,57.3687813859149995
88.829126002304,57.23628138591499215
89.096626002304,57.10378138591499905
89.364126002304,57.09128138591499615
89.631626002304,57.23878138591498985
89.899126002304,57.22628138591500125
90.166626002304,57.45378138591499325
90.434126002304,57.64128138591499325
90.701626002304,57.8687813859149995
90.969126002304,58.09628138591499155
91.236626002304,58.08378138591500285
91.504126002304,58.2312813859149966
91.809126002304,38.33628138591500077
92.180126002304,58.50728138591499285
92.447626002304,58.37478138591499965
92.715126002304,39.2022813859150004
93.086126002304,39.53328138591498927
93.353626002304,58.5607813859149926
93.621126002304,58.54828138591498965
93.888626002304,40.29578138591499207
94.156126002304,58.5632813859149903
94.423626002304,40.79078138591499665
94.794626002304,58.8817813859149905
95.165626002304,41.4527813859150028
95.433126002304,58.8802813859149976
95.700626002304,41.94778138591499315
95.968126002304,59.2552813859149976
96.339126002304,59.3062813859149995
96.606626002304,42.77378138591500077
96.874126002304,59.4412813859149904
97.141626002304,59.4687813859149938
97.409126002304,59.57628138591499555
97.676626002304,43.72378138591498937
98.047626002304,59.8147813859149975
98.315126002304,59.96228138591499125
98.582626002304,44.54978138591499695
98.953626002304,60.20078138591499315
99.221126002304,45.1482813859149983
99.592126002304,60.2792813859149985
99.859626002304,45.7467813859149997
100.230626002304,46.07778138591500275
100.498126002304,46.22528138591499655
100.765626002304,46.41278138591499655
101.033126002304,59.720281385915001
101.300626002304,46.82778138591500275
101.568126002304,60.095281385915001
101.873126002304,47.3602813859150016
102.347626002304,47.5547813859149924
102.615126002304,59.7822813859149986
102.882626002304,47.9297813859149924
103.150126002304,48.15728138591499865
103.417626002304,48.38478138591499065
103.685126002304,60.372281385915002
103.952626002304,60.4397813859149975
104.220126002304,60.4272813859149946
104.487626002304,60.45478138591499805
104.755126002304,60.2822813859149986
105.022626002304,49.1897813859149975
105.290126002304,49.3372813859149913
105.557626002304,60.24478138591499005
105.825126002304,49.7522813859149975
106.092626002304,60.6597813859149963
106.360126002304,49.88728138591500265
106.627626002304,60.75478138591499515
106.895126002304,50.18228138591499005
107.162626002304,60.9697813859149986
107.430126002304,50.4772813859149919
107.801126002304,61.00828138591499765
108.172126002304,61.2592813859150024
108.439626002304,61.3667813859149899
108.707126002304,61.514281385914998
108.974626002304,61.66178138591499175
109.242126002304,51.48928138591499225
109.509626002304,61.9167813859150013
109.777126002304,61.9042813859149985
110.044626002304,52.01178138591500025
110.312126002304,52.159281385914994
110.579626002304,62.06678138591499285
110.847126002304,62.1742813859149945
111.114626002304,62.2817813859149961
111.382126002304,52.86928138591500195
111.687126002304,53.014281385914998
111.954626002304,62.201781385914998
112.222126002304,53.42928138591499
112.489626002304,53.576781385914998
112.757126002304,53.6842813859149997
113.128126002304,53.53528138591499875
113.395626002304,53.6427813859150005
113.663126002304,53.79028138591499415
